referral_type,district_of_medical_institution_bg,district_of_medical_institution_en,count_referrals
Направление за лабораторни изследвания / Referral for Laboratory Procedures,София Град,Sofia City,1498520
Направление за консултация / Referral for Consultations,София Град,Sofia City,994262
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Пловдив,Plovdiv,912187
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Варна,Varna,642490
Направление за консултация / Referral for Consultations,Пловдив,Plovdiv,562407
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Бургас,Burgas,490136
Направление за хоспитализация / Referral for Hospitalization,София Град,Sofia City,411687
Направление за консултация / Referral for Consultations,Варна,Varna,385545
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Стара Загора,Stara Zagora,378806
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Благоевград,Blagoevgrad,365662
Направление за консултация / Referral for Consultations,Бургас,Burgas,337953
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Плевен,Pleven,306267
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Велико Търново,Veliko Tarnovo,295576
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Русе,Ruse,281223
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Пазарджик,Pazardzhik,276397
Направление за консултация / Referral for Consultations,Благоевград,Blagoevgrad,262033
Направление за консултация / Referral for Consultations,Стара Загора,Stara Zagora,256384
Направление за хоспитализация / Referral for Hospitalization,Пловдив,Plovdiv,254348
Направление за лабораторни изследвания / Referral for Laboratory Procedures,София Област,Sofia,249386
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Хасково,Haskovo,235765
Направление за консултация / Referral for Consultations,Плевен,Pleven,216419
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Сливен,Sliven,205466
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Шумен,Shumen,203054
Направление за консултация / Referral for Consultations,Пазарджик,Pazardzhik,200719
Направление за консултация / Referral for Consultations,Велико Търново,Veliko Tarnovo,193229
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Добрич,Dobrich,189099
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Враца,Vratsa,184491
Направление за консултация / Referral for Consultations,Русе,Ruse,181883
Направление за консултация / Referral for Consultations,София Област,Sofia,172343
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Перник,Pernik,158466
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Смолян,Smolyan,157935
Направление за консултация / Referral for Consultations,Хасково,Haskovo,155803
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Кърджали,Kardzhali,149806
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Кюстендил,Kyustendil,149729
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Монтана,Montana,145187
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Габрово,Gabrovo,143358
Направление за консултация / Referral for Consultations,Сливен,Sliven,142586
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Ямбол,Yambol,141930
Направление за консултация / Referral for Consultations,Враца,Vratsa,141852
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Ловеч,Lovech,135316
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Разград,Razgrad,132009
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Търговище,Targovishte,125787
Направление за консултация / Referral for Consultations,Шумен,Shumen,120014
Направление за консултация / Referral for Consultations,Добрич,Dobrich,119309
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Силистра,Silistra,118709
Направление за хоспитализация / Referral for Hospitalization,Бургас,Burgas,115774
Направление за лабораторни изследвания / Referral for Laboratory Procedures,Видин,Vidin,114656
Направление за консултация / Referral for Consultations,Монтана,Montana,109629
Направление за консултация / Referral for Consultations,Габрово,Gabrovo,104338
Направление за консултация / Referral for Consultations,Кърджали,Kardzhali,102825
Направление за консултация / Referral for Consultations,Перник,Pernik,95612
Направление за консултация / Referral for Consultations,Кюстендил,Kyustendil,91686
Направление за консултация / Referral for Consultations,Ловеч,Lovech,90017
Направление за консултация / Referral for Consultations,Смолян,Smolyan,87211
Направление за консултация / Referral for Consultations,Ямбол,Yambol,87073
Направление за консултация / Referral for Consultations,Търговище,Targovishte,86267
Направление за консултация / Referral for Consultations,Разград,Razgrad,86174
