reason_for_visit,number_of_examinations
Консултация / Consultation,21820086
Диспансерен преглед / Dispensary examination,3284586
Профилактика нa пълнолетни лица / Prevention in adults,1414085
Детско здравеопазване / Children's health,762183
Високо-специализирана дейност / Highly specialized activity,427317
Неуточнена / Unspecified,304426
Експертиза на работоспособността / Expertise of working capacity,268508
Обща профилактика / General prevention,174602
Майчино здравеопазване / Maternal health,173240
Рецепта на хоспитализирано лице / Prescription of a hospitalized person,165208
Профилактика на лица с рискови фактори / Prevention of persons with risk factors,23621
По искане на ТЕЛК / At the request of medical expertise,4309
Скрийнинг / Screening,42
