diagnosis,age,total_number_of_examinations
Рутинно изследване на здравното състояние на детето,0 - 1,278477
Други общи прегледи,0 - 1,45264
ОСТЪР НАЗОФАРИНГИТ [ХРЕМА],0 - 1,41819
"Остра инфекция на горните дихателни пътища, неуточнена",0 - 1,29072
"Вирусна инфекция, неуточнена",0 - 1,23282
"Остър бронхиолит, неуточнен",0 - 1,11505
"Едно дете, родено в стационар",0 - 1,6314
Алергичен и алиментарен гастроентерит и колит,0 - 1,5958
"Остър бронхит, неуточнен",0 - 1,5292
"Остър тонзилит, неуточнен",0 - 1,5006
Едно живородено,0 - 1,4441
 Остър ларинготрахеит,0 - 1,4252
Общ медицински преглед,0 - 1,4060
Друго уточнено специално изследване,0 - 1,3913
Наблюдение на друго здраво дете в кърмаческа и ранна детска възраст и грижа за него,0 - 1,3544
"Остра инфекция на горните дихателни пътища, неуточнена",1 - 3,176645
"Вирусна инфекция, неуточнена",1 - 3,131340
Рутинно изследване на здравното състояние на детето,1 - 3,90390
Изследване в периода на бърз растеж в детството,1 - 3,83328
ОСТЪР НАЗОФАРИНГИТ [ХРЕМА],1 - 3,76819
Други общи прегледи,1 - 3,59924
"Остър тонзилит, неуточнен",1 - 3,55542
"Остър бронхит, неуточнен",1 - 3,41355
 Остър ларинготрахеит,1 - 3,21835
Други остри инфекции на горните дихателни пътища с множествена локализация,1 - 3,21319
"Остър бронхиолит, неуточнен",1 - 3,18141
"Остър фарингит, неуточнен",1 - 3,11285
Остър ларингит,1 - 3,9041
"ИЗОБИЛЕН (REDUNDANT) ПРЕПУЦИУМ, ФИМОЗА И ПАРАФИМОЗА",1 - 3,6857
 Хипертрофия на аденоидите,1 - 3,6453
"Остра инфекция на горните дихателни пътища, неуточнена",4 - 6,185251
"Вирусна инфекция, неуточнена",4 - 6,131587
Изследване в периода на бърз растеж в детството,4 - 6,119596
"Остър тонзилит, неуточнен",4 - 6,64387
ОСТЪР НАЗОФАРИНГИТ [ХРЕМА],4 - 6,54899
"Остър бронхит, неуточнен",4 - 6,45116
Други общи прегледи,4 - 6,33219
Други остри инфекции на горните дихателни пътища с множествена локализация,4 - 6,24946
 Остър ларинготрахеит,4 - 6,20849
"Остър фарингит, неуточнен",4 - 6,12404
Други и неуточнени болки в областта на корема,4 - 6,10978
Варицела без усложнения,4 - 6,10106
 Хипертрофия на аденоидите,4 - 6,8924
Остър ларингит,4 - 6,7997
"Негнойно възпаление на средното ухо, неуточнено",4 - 6,7346
"Остра инфекция на горните дихателни пътища, неуточнена",7 - 11,226408
"Вирусна инфекция, неуточнена",7 - 11,178704
Изследване за оценка на състоянието на развитието на юношата,7 - 11,98651
"Остър тонзилит, неуточнен",7 - 11,84881
ОСТЪР НАЗОФАРИНГИТ [ХРЕМА],7 - 11,43356
"Остър бронхит, неуточнен",7 - 11,42374
Други общи прегледи,7 - 11,40350
Други остри инфекции на горните дихателни пътища с множествена локализация,7 - 11,34176
Други и неуточнени болки в областта на корема,7 - 11,28112
 Остър ларинготрахеит,7 - 11,19049
"Остър фарингит, неуточнен",7 - 11,15048
Миопия,7 - 11,13161
Астма с преобладаващ алергичен компонент,7 - 11,12837
Хиперметропия,7 - 11,9985
ГЛАВОБОЛИЕ,7 - 11,9633
"Остра инфекция на горните дихателни пътища, неуточнена",12 - 18,315820
"Вирусна инфекция, неуточнена",12 - 18,266756
Изследване за оценка на състоянието на развитието на юношата,12 - 18,133266
"Остър тонзилит, неуточнен",12 - 18,106656
Други общи прегледи,12 - 18,69617
Други и неуточнени болки в областта на корема,12 - 18,57008
Други остри инфекции на горните дихателни пътища с множествена локализация,12 - 18,55150
ОСТЪР НАЗОФАРИНГИТ [ХРЕМА],12 - 18,47060
"Остър бронхит, неуточнен",12 - 18,46163
ГЛАВОБОЛИЕ,12 - 18,33316
Общ медицински преглед,12 - 18,28643
"Гастродуоденит, неуточнен",12 - 18,25452
"Остър фарингит, неуточнен",12 - 18,22567
Миопия,12 - 18,21928
Други вирусни инфекции с неуточнена локализация,12 - 18,15770
