region,prescription_count,prescription_count_per_1000,prescription_count_per_10000,prescription_count_per_100000
BG-01,750429,2627,26271,262715
BG-02,790331,2019,20187,201873
BG-03,1067442,2423,24231,242307
BG-04,596798,3002,30020,300196
BG-05,243542,3506,35060,350597
BG-06,461048,3191,31906,319060
BG-07,300976,3246,32460,324600
BG-08,362495,2520,25198,251981
BG-09,321519,2115,21149,211487
BG-10,304514,2907,29073,290733
BG-11,349064,3189,31894,318937
BG-12,371624,3349,33489,334887
BG-13,719141,3251,32514,325144
BG-14,282638,2596,25961,259608
BG-15,784258,3684,36839,368386
BG-16,1619611,2537,25374,253742
BG-17,342099,3488,34879,348785
BG-18,496254,2693,26934,269336
BG-19,249251,2699,26985,269854
BG-20,421935,2508,25075,250753
BG-21,320118,3604,36043,360428
BG-22,2269036,1740,17403,174031
BG-23,644867,2892,28925,289248
BG-24,848865,2961,29606,296059
BG-25,280053,2991,29910,299096
BG-26,494692,2405,24049,240490
BG-27,380583,2561,25611,256111
BG-28,318932,3050,30499,304991
Непосочено,16871,,,
